id,class,division_id,name,resource_name,view_path,gender,table_name
1,2,100,Discharge Summary,facultynotes,faculty.notes.discharge.form,2,faculty_discharge_notes
2,2,400,Labour and Delivery Summary,obgynnotes,obgyn.notes.delivery.form,0,obgyn_delivery_notes
3,2,400,Newborn Summary,obgynnotes,obgyn.notes.newborn.form,2,obgyn_newborn_notes
4,2,400,Undelivery Summary,obgynnotes,obgyn.notes.undelivery.form,0,obgyn_undelivery_notes
5,2,400,Pregnancy with Abortive Outcome Summary,obgynnotes,obgyn.notes.abortion.form,0,obgyn_abortion_notes
6,2,300,Discharge Summary,ophthalmologynotes,ophthalmology.notes.discharge.form,2,ophthalmology_discharge_notes
7,1,200,Admission Note,medicinenotes,medicine.notes.admission.form,2,medicine_admission_notes
8,2,200,Discharge Summary,medicinenotes,medicine.notes.discharge.form,2,medicine_discharge_notes
9,1,100,Admission Note,facultynotes,faculty.notes.admission.form,2,faculty_admission_notes
10,1,201,Admission Note,medicinenotes,medicine.notes.the-heart.admission.form,2,the_heart_admission_notes
11,3,201,In hospital adverse event,medicinenotes,medicine.notes.the-heart.in-hospital-adverse-event.form,2,the_heart_in_hopital_adverse_event_notes
99,1,100,Admission Note,departmentnotes,department.notes.admission.form,2,department_admission_notes
88,2,100,Discharge Summary,departmentnotes,department.notes.discharge.form,2,department_discharge_notes
