id,name,generic_name,trade_name,synonym
20000004,SA 10% in Clobetasol Cream 1 g,Clobetasol and Salicylic acid,SA in Clobetasol,
20000010,SA 10% in 0.1%Triamcinolone Cream 1 g,Triamcinolone and Salicylic acid,SA in Triamcinolone,
20000011,SA 10% in 0.02%Triamcinolone Cream 1 g,Triamcinolone and Salicylic acid,SA in Triamcinolone,
20000013,Urea 10% in Clobetasol Cream 1 g,Clobetasol and Urea,Urea in Clobet,
20000019,Urea 10% in 0.1%Triamcinolone Cream 1 g,Triamcinolone and Urea,Urea in Triamcinolone,
20000020,Urea 10% in 0.02%Triamcinolone Cream 1 g,Triamcinolone and Urea,Urea in Triamcinolone,
20000021,Hydrocortisone Cream 1% 5 g [Hytisone],Hydrocortisone,Hytisone,hydrocortisone (INN)
20000023,Urea 20% in Clobetasol Cream 1 g,Clobetasol and Urea,Urea in Clobet,
20000029,Urea 20% in 0.1%Triamcinolone Cream 1 g,Triamcinolone and Urea,Urea in Triamcinolone,
20000030,Urea 20% in 0.02%Triamcinolone Cream 1 g,Triamcinolone and Urea,Urea in Triamcinolone,
20000044,LCD 3% in Clobetasol Cream 1 g,LCD and Clobetasol,LCD in Clobetasol,
20000156,"Influenza, trivalent (PFS) Vaccine 0.5 mL [Agrippal S1]",Influenza (surface antigen),Agrippal S1,
20000162,"Albumin,human Inj  5% 250 mL [Albutein]",Albumin,Albutein,
20000167,Imiquimod Cream 5% 250 mg [Aldara],Imiquimod,Aldara,imiquimod (INN)
20000168,Vitamin B1+Vitamin B2 Tab [Alinamin-F Odorless],Fursultiamine and Vitamin B2,Alinamin-F,
20000169,Allopurinol Tab 100 mg [Puride],Allopurinol,Puride,"allopurinol (INN), อัลโลพูรินอล (RDU)"
20000170,Allopurinol Tab 300 mg [Puride],Allopurinol,Puride,"allopurinol (INN), อัลโลพูรินอล (RDU)"
20000172,Factor VIII with vWF Inj 250 IU/5 mL [Alphanate],Factor VIII and von Willebrand factor,Alphanate,
20000174,Alfacalcidol Cap 0.25 mcg [Alpha D3],Alfacalcidol (1-Hydroxyvitamin D3),Alpha D3,"alfacalcidol (INN), 1-Hydroxyvitamin D3"
20000178,Brimonidine Eye Drop 0.15% 5 mL [Alphagan P],Brimonidine,Alphagan P,brimonidine (INN)
20000046,LCD 3% in 0.1%Triamcinolone Cream 1 g,LCD and Triamcinolone,LCD in Triamcinolone,
20000047,LCD 3% in 0.02%Triamcinolone Cream 1 g,LCD and Triamcinolone,LCD in Triamcinolone,
20000051,SA 3% in Clobetasol Cream 1 g,Clobetasol and Salicylic acid,SA in Clobetasol,
20000058,SA 3% in 0.1%Triamcinolone Cream 1 g,Triamcinolone and Salicylic acid,SA in Triamcinolone,
20000059,SA 3% in 0.02%Triamcinolone Cream  1 g,Triamcinolone and Salicylic acid,SA in Triamcinolone,
20000068,D50W 500 mL (in 1000mL) (P),Glucose,D50W Thai Otsuka,
20000077,LCD 5% in Clobetasol Cream 1 g,LCD and Clobetasol,LCD in Clobetasol,
20000079,LCD 5% in 0.1%Triamcinolone Cream 1 g,LCD and Triamcinolone,LCD in Triamcinolone,
20000080,LCD 5% in 0.02%Triamcinolone Cream 1 g,LCD and Triamcinolone,LCD in Triamcinolone,
20000084,SA 5% in Clobetasol Cream 1 g,Clobetasol and Salicylic acid,SA in Clobetasol,
20000091,SA 5% in 0.1%Triamcinolone Cream 1 g,Triamcinolone and Salicylic acid,SA in Triamcinolone,
20000092,SA 5% in 0.02%Triamcinolone Cream 1 g,Triamcinolone and Salicylic acid,SA in Triamcinolone,
20000100,Urea 5% in Clobetasol Cream 1 g,Clobetasol and Urea,Urea in Clobet,
20000106,Isotretinoin Cap 20 mg [Acnotin],Isotretinoin,Acnotin,isotretinoin (INN)
20000107,Urea 5% in 0.1%Triamcinolone Cream 1 g,Triamcinolone and Urea,Urea in Triamcinolone,
