id,postcode,province_id,location
1,10200,10,10200 พระบรมมหาราชวัง พระนคร กรุงเทพมหานคร
2,10200,10,10200 วังบูรพาภิรมย์ พระนคร กรุงเทพมหานคร
3,10200,10,10200 วัดราชบพิธ พระนคร กรุงเทพมหานคร
4,10200,10,10200 สำราญราษฎร์ พระนคร กรุงเทพมหานคร
5,10200,10,10200 ศาลเจ้าพ่อเสือ พระนคร กรุงเทพมหานคร
6,10200,10,10200 เสาชิงช้า พระนคร กรุงเทพมหานคร
7,10200,10,10200 บวรนิเวศ พระนคร กรุงเทพมหานคร
8,10200,10,10200 ตลาดยอด พระนคร กรุงเทพมหานคร
9,10200,10,10200 ชนะสงคราม พระนคร กรุงเทพมหานคร
10,10200,10,10200 บ้านพานถม พระนคร กรุงเทพมหานคร
11,10200,10,10200 บางขุนพรหม พระนคร กรุงเทพมหานคร
12,10200,10,10200 วัดสามพระยา พระนคร กรุงเทพมหานคร
13,10300,10,10300 ดุสิต ดุสิต กรุงเทพมหานคร
14,10300,10,10300 วชิรพยาบาล ดุสิต กรุงเทพมหานคร
15,10303,10,10303 สวนจิตรลดา ดุสิต กรุงเทพมหานคร
16,10300,10,10300 สี่แยกมหานาค ดุสิต กรุงเทพมหานคร
17,10300,10,10300 ถนนนครไชยศรี ดุสิต กรุงเทพมหานคร
18,10530,10,10530 กระทุ่มราย หนองจอก กรุงเทพมหานคร
19,10530,10,10530 หนองจอก หนองจอก กรุงเทพมหานคร
20,10530,10,10530 คลองสิบ หนองจอก กรุงเทพมหานคร
21,10530,10,10530 คลองสิบสอง หนองจอก กรุงเทพมหานคร
22,10530,10,10530 โคกแฝด หนองจอก กรุงเทพมหานคร
23,10530,10,10530 คู้ฝั่งเหนือ หนองจอก กรุงเทพมหานคร
24,10530,10,10530 ลำผักชี หนองจอก กรุงเทพมหานคร
25,10530,10,10530 ลำต้อยติ่ง หนองจอก กรุงเทพมหานคร
26,10500,10,10500 มหาพฤฒาราม บางรัก กรุงเทพมหานคร
27,10500,10,10500 สีลม บางรัก กรุงเทพมหานคร
28,10500,10,10500 สุริยวงศ์ บางรัก กรุงเทพมหานคร
29,10500,10,10500 บางรัก บางรัก กรุงเทพมหานคร
30,10500,10,10500 สี่พระยา บางรัก กรุงเทพมหานคร
31,10220,10,10220 อนุสาวรีย์ บางเขน กรุงเทพมหานคร
32,10220,10,10220 ท่าแร้ง บางเขน กรุงเทพมหานคร
33,10230,10,10230 ท่าแร้ง บางเขน กรุงเทพมหานคร
34,10220,10,10220 บางเขน บางเขน กรุงเทพมหานคร
35,10240,10,10240 คลองจั่น บางกะปิ กรุงเทพมหานคร
36,10240,10,10240 หัวหมาก บางกะปิ กรุงเทพมหานคร
37,10250,10,10250 หมู่บ้านเสรี บางกะปิ กรุงเทพมหานคร
38,10330,10,10330 รองเมือง ปทุมวัน กรุงเทพมหานคร
39,10330,10,10330 วังใหม่ ปทุมวัน กรุงเทพมหานคร
40,10330,10,10330 ปทุมวัน ปทุมวัน กรุงเทพมหานคร
41,10330,10,10330 ลุมพินี ปทุมวัน กรุงเทพมหานคร
42,10100,10,10100 ป้อมปราบ ป้อมปราบศัตรูพ่าย กรุงเทพมหานคร
43,10100,10,10100 วัดเทพศิรินทร์ ป้อมปราบศัตรูพ่าย กรุงเทพมหานคร
44,10100,10,10100 คลองมหานาค ป้อมปราบศัตรูพ่าย กรุงเทพมหานคร
