id,region,province
10,1,กรุงเทพมหานคร
11,1,สมุทรปราการ
12,1,นนทบุรี
13,1,ปทุมธานี
14,1,พระนครศรีอยุธยา
15,1,อ่างทอง
16,1,ลพบุรี
17,1,สิงห์บุรี
18,1,ชัยนาท
19,1,สระบุรี
20,4,ชลบุรี
21,4,ระยอง
22,4,จันทบุรี
23,4,ตราด
24,4,ฉะเชิงเทรา
25,4,ปราจีนบุรี
26,1,นครนายก
27,4,สระแก้ว
30,3,นครราชสีมา
31,3,บุรีรัมย์
32,3,สุรินทร์
33,3,ศรีสะเกษ
34,3,อุบลราชธานี
35,3,ยโสธร
36,3,ชัยภูมิ
37,3,อำนาจเจริญ
39,3,หนองบัวลำภู
40,3,ขอนแก่น
41,3,อุดรธานี
42,3,เลย
43,3,หนองคาย
44,3,มหาสารคาม
45,3,ร้อยเอ็ด
46,3,กาฬสินธุ์
47,3,สกลนคร
48,3,นครพนม
49,3,มุกดาหาร
50,2,เชียงใหม่
51,2,ลำพูน
52,2,ลําปาง
53,2,อุตรดิตถ์
54,2,แพร่
55,2,น่าน
56,2,พะเยา
57,2,เชียงราย
58,2,แม่ฮ่องสอน
60,1,นครสวรรค์
61,1,อุทัยธานี
62,1,กำแพงเพชร
63,1,ตาก
64,1,สุโขทัย
65,1,พิษณุโลก
66,1,พิจิตร
67,1,เพชรบูรณ์
70,5,ราชบุรี
71,5,กาญจนบุรี
72,1,สุพรรณบุรี
73,1,นครปฐม
74,1,สมุทรสาคร
75,1,สมุทรสงคราม
76,5,เพชรบุรี
77,5,ประจวบคีรีขันธ์
80,6,นครศรีธรรมราช
81,6,กระบี่
82,6,พังงา
83,6,ภูเก็ต
84,6,สุราษฎร์ธานี
85,6,ระนอง
86,6,ชุมพร
90,6,สงขลา
91,6,สตูล
92,6,ตรัง
93,6,พัทลุง
94,6,ปัตตานี
95,6,ยะลา
96,6,นราธิวาส
99,0,Other
